,ad,f_assured,seller,name,price,slashed_price,discount_perc,link
30,0,1,ASIAN,Rider-01 White Running Shoes for Men I Sport Shoes for ...,1198,1999,40,https://www.flipkart.com/asian-rider-01-white-running-shoes-men-sport-boys-beads-technology-sole-extra-jump-memory-foam-insole/p/itm60b5618fd2cf1?pid=SHOFYFYKMZHDFG74&lid=LSTSHOFYFYKMZHDFG74YIEKQZ&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_31&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFYFYKMZHDFG74.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
31,0,1,ASIAN,Oxygen-01 white Running shoes dual capsule technology f...,1098,1999,45,https://www.flipkart.com/asian-oxygen-01-white-running-shoes-dual-capsule-technology-boys-sports-men-latest-stylish-casual-sneakers-lace-up-lightweight-running-walking-gym-trekking-hiking-party/p/itm377956c02645a?pid=SHOG9ZZDW7HBNAGJ&lid=LSTSHOG9ZZDW7HBNAGJYYBVVN&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_32&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG9ZZDW7HBNAGJ.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
32,0,1,ASIAN,Asian Hattrick-21 sports shoes for men | Latest Stylish...,698,1249,44,https://www.flipkart.com/asian-hattrick-21-sports-shoes-men-latest-stylish-casual-sneakers-running-boys-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party-training-gym/p/itmfd0c9e3d0a11a?pid=SHOG62FGSMGMGZKC&lid=LSTSHOG62FGSMGMGZKCX3FLUX&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_33&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG62FGSMGMGZKC.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
33,0,1,BIRDE,New Design Lightweight Stylish and Tredy Sports Running...,299,999,70,https://www.flipkart.com/birde-new-design-lightweight-stylish-tredy-sports-running-shoes-men/p/itm2c159061db12f?pid=SHOG7QRTCRBXVGAZ&lid=LSTSHOG7QRTCRBXVGAZMBCOUR&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_34&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG7QRTCRBXVGAZ.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
34,0,1,ASIAN,Creta-12 sports shoes for men | Latest Stylish Casual s...,709,1299,45,https://www.flipkart.com/asian-creta-12-sports-shoes-men-latest-stylish-casual-sport-running-boys-lace-up-lightweight-blue-running-walking-gym-trekking-hiking-party/p/itmf5d4ee1dd28f4?pid=SHOFWJTFJZEWE8TF&lid=LSTSHOFWJTFJZEWE8TFAVVIET&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_35&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFWJTFJZEWE8TF.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
35,0,1,CAMPUS,RAW Running Shoes For Men,1047,1499,30,https://www.flipkart.com/campus-raw-running-shoes-men/p/itm48f28328d6a67?pid=SHOGAAYHMPGVRXJJ&lid=LSTSHOGAAYHMPGVRXJJWTQOXI&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_36&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOGAAYHMPGVRXJJ.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
36,0,1,Kraasa,Series 7 Sneakers For Men,483,999,51,https://www.flipkart.com/kraasa-series-7-sneakers-men/p/itmda307099c343b?pid=SHOGF3MZKVDZXJAG&lid=LSTSHOGF3MZKVDZXJAGNEUXUK&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_37&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOGF3MZKVDZXJAG.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
37,0,1,Layasa,Sneakers For Men,499,999,50,https://www.flipkart.com/layasa-sneakers-men/p/itm4bfb14824c769?pid=SHOGBHR3YTFQJQK9&lid=LSTSHOGBHR3YTFQJQK9XYYKUN&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_38&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOGBHR3YTFQJQK9.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
38,0,1,K' Footlance,Loafers For Men,351,999,64,https://www.flipkart.com/k-footlance-loafers-men/p/itm87e4b44685a46?pid=SHOFUCYKSFF7SSKU&lid=LSTSHOFUCYKSFF7SSKUBUSILO&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_39&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFUCYKSFF7SSKU.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
39,0,1,Vellinto,Royal Look Party Wear Shoes For Men ll Casual Shoes For...,757,1299,41,https://www.flipkart.com/vellinto-royal-look-party-wear-shoes-men-ll-casual-latest-patent-leather-boots/p/itmae0172862c584?pid=SHOFZP9GWNFBJTHH&lid=LSTSHOFZP9GWNFBJTHHE9OGN7&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_40&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFZP9GWNFBJTHH.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
